Catégorie;Niveau;Libellé;Vrai;Faux1;Faux2;Faux3;Faux4;Feedback;
Général;1;La panne est dûe à la vétusté de l'appareil.;incorrect;correct;;;;due;
Général;1;Tous nos produits sont testés avant leur mise sur le marché.;correct;incorrect;;;;;
Général;1;Le nouveau stagiaire est un bon communiquant;incorrect;correct;;;;communicant;
Général;1;N'hésitez pas à nous contactez.;incorrect;correct;;;;contacter;
Général;1;Henry a ôté le language familier du texte de son devoir.;incorrect;correct;;;;langage;
Général;1;Il faut rendre le rapport de stage dès que demandé.;correct;incorrect;;;;;
Général;1;Le reponsable a réparti les taches.;incorrect;correct;;;;tâches;
Général;1;L'équipe attend l'arrivée du responsable.;correct;incorrect;;;;;
Général;1;Deux milles tracs orange sont distribués.;incorrect;correct;;;;mille;
Général;1;Ce stage est plus tôt bien payé.;incorrect;correct;;;;plutôt;
Général;1;Personne ne le croit jamais.;correct;incorrect;;;;;
Général;1;Expliquez-vous de vive voie !;incorrect;correct;;;;voix;
Général;1;Le cheval a parcouru quelque 20 kilomètres.;correct;incorrect;;;;;
Général;1;Les voitures rouge foncées sont garées dans la rue.;incorrect;correct;;;;foncé;
Général;1;Tâchez de résoudre ce différent stupide.;incorrect;correct;;;;différend;
Général;1;On progresse en se fessant confiance.;incorrect;correct;;;;faisant;
Général;1;Il faut pallier aux inconvénients du bruit.;incorrect;correct;;;;pallier les;
Général;1;Jean a acheté des fleur.;incorrect;correct;;;;fleurs;
Général;1;J'offrirai ce bouquet à Brigitte.;correct;incorrect;;;;;
Général;1;Dans ce champ de maïs les ouvriers chantent en travaillant.;correct;incorrect;;;;;
Général;1;Les documents ci-joints  sont les derniers.;correct;incorrect;;;;;
Général;1;Je vous envoie le colis tout dessuite;incorrect;correct;;;;de suite;
Général;1;La connection à internet laisse à désirer !;incorrect;correct;;;;connexion;
Général;1;Ces neuf cent euros suffiront pour l'achat de cette voiture.;incorrect;correct;;;;cents;
Général;1;Le chéquier est sensé suffire pour le paiement.;incorrect;correct;;;;censé;
Général;1;L'étudiant n'est pas prêt de passer l'oral.;incorrect;correct;;;;près de;
Général;1;La commande est dispensée de frais de porc.;incorrect;correct;;;;port;
Général;1;La plupart des devoirs rendus sont corrects.;correct;incorrect;;;;;
Général;1;Aucune des brasseries contrôlées n'était hors-la-loi.;correct;incorrect;;;;;
Général;1;Pense à indiquer ton nom et ton adresse sur le bordereau d'envoi.;correct;incorrect;;;;;
Général;1;Cet espèce d'idiot a tenté de négocier avec le policier !;incorrect;correct;;;;cette;
Général;1;Le nombre de candidats croît sans cesse.;correct;incorrect;;;;;
Général;1;Ils tablent sur un bénéfice de 1.5 millions d'euros;incorrect;correct;;;;million;
Général;1;Si vous contrefaites les documents, vous aurez des ennuis !;correct;incorrect;;;;;
Général;1;Nous avons rencontré beaucoup d'avatars durant notre voyage.;incorrect;correct;;;;avatar=double;
Général;1;Tu es sensé arriver à 8 heures !;incorrect;correct;;;;censé;
Général;1;Le ministre viendra lui même inaugurer cette nouvelle école;incorrect;correct;;;;lui-même;
Général;1;En cas de panne, j'envois un technicien chez le client;incorrect;correct;;;;envoie;
Général;1;N'hésite pas à insister pour obtenir rendez-vous.;correct;incorrect;;;;;
Général;1;Il faut que tu rapelles le client.;incorrect;correct;;;;rappelles;
Général;1;En mon fort intérieur, je suis sûr de gagner.;incorrect;correct;;;;for;
Général;1;Malgrés les avancées scientifiques, on a toujours pas élucidé les mystères de l'univers;incorrect;correct;;;;malgré;
Général;1;Les piles sont-elles inclues dans la voiture télécommandée ?;incorrect;correct;;;;incluses;
Général;1;"Le titre de l'émission est ""Cauchemard en cuisine"".";incorrect;correct;;;;cuachemar;
Général;1;J'ai crû bien faire en invitant tes parents à déjeuner dimanche.;incorrect;correct;;;;cru;
Général;1; Cet élève travaille assidument et, ce faisant, obtient de bons résultats;correct;incorrect;;;;;
Général;1;Je vous serai gré de bien vouloir accuser réception de ce courrier.;incorrect;correct;;;;saurai;
Général;1;Au pied du sapin étaient disposés des cadeaux pour les enfants.;correct;incorrect;;;;;
Général;1;Vues les difficultés météorologiques, les cours sont annulés.;incorrect;correct;;;;vu;
Général;1;L'assasssin n'a pas encore été retrouvé, il peut-être partout;incorrect;correct;;;;peut être;
Général;1;Ce travail est-il bien rénuméré ?;incorrect;correct;;;;rémunéré;
Général;1;Il existe différents types de nezs : crochus, droits ou retroussés;incorrect;correct;;;;nez;
Général;1;Heureusement, il y a des magasines pour passer le temps !;incorrect;correct;;;;magazines;
Général;1;Eh bien, qu'attendez-vous pour vous mettre au travail ?;correct;incorrect;;;;;
Général;1;Tous les lundis, je regarde ma série préférée à la télé.;correct;incorrect;;;;;
Général;1;Au moment de l'hymne national, tous les supporters étaient debouts.;incorrect;correct;;;;debout;
Général;1;Nombres de vêtements envahissent les rayons des boutiques lors des soldes.;incorrect;correct;;;;nombre;
Général;1;Les Arborigènes d'Australie sont en voie de disparition;incorrect;correct;;;;Aborigènes;
Général;1;Demain je suis convoqué à un entretien.;correct;incorrect;;;;;
Général;1;Cet opérateur téléphonique propose un abonnement internet à 1,99 euros.;incorrect;correct;;;;euro;
Général;1;Le client voulait avoir à faire avec le directeur.;incorrect;correct;;;;affaire;
Général;1;Je l'ai dit par acquis de conscience.;incorrect;correct;;;;acquit;
Général;1;C'est là que le bât blesse.;correct;incorrect;;;;;
Général;1;C'est un scandale de voir tous les aliments qui sont jettés !;incorrect;correct;;;;jetés;
Général;1;J'ai fait passer le document à Mr le Maire.;incorrect;correct;;;;M.;
Général;1;Les personnes intéressées peuvent appeler, hormi le dimanche;incorrect;correct;;;;hormis;
Général;1;Ce vieux satyre vit entouré de jeunes beautés.;correct;incorrect;;;;;
Général;1;Je pensais que, parmi les étudiants, beaucoup seraient sérieux.;correct;incorrect;;;;;
Général;1;Et vous me dites que les soucoupes volantes étaient marrons ?;incorrect;correct;;;;marron;
Général;1;Elle a lu quatres tomes de la saga de Zola.;incorrect;correct;;;;quatre;
Général;1;On m'a demandé d'assuré la permanence ce weekend.;incorrect;correct;;;;assurer;
Général;1;Mon collègue va vous précisez si la TVA est comprise dans le prix.;incorrect;correct;;;;préciser;
Général;1;Vous faites peu de cas de nos sentiments !;correct;incorrect;;;;;
Général;1;J'ai mes astuces, ils me disent qu'ils ont les leur.;incorrect;correct;;;;leurs;
Général;1;On dit que les aveyronnais sont chauvins;incorrect;correct;;;;Aveyronnais;
Général;1;La stagiaire est toute épatée de ton professionnalisme.;incorrect;correct;;;;tout;
Général;1;Béa est allée de toute urgence au vétérinaire pour faire soigner son chat;incorrect;correct;;;;chez;
Général;1;Quand il est sorti de l'eau, Jean était en hippothermie.;correct;incorrect;;;;;
Général;1;Cet enfant est une vraie glu.;correct;incorrect;;;;;
Général;1;Attention ce produit chimique est très volatile.;incorrect;correct;;;;volatil;
Général;1;Albert lit des bandes dessinées tous les jours, il en est accroc.;incorrect;correct;;;;accro;
Général;1;Tout ce que l'on pensait s'est avéré faux.;incorrect;correct;;;;avéré =vrai;
Général;1;Aux prochaines vacances, je m'offrirai une petite pause.;correct;incorrect;;;;;
Général;1;Ce groupe de boys band, je les trouve banaux.;incorrect;correct;;;;banals;
Général;1;Les professionnels de l'informatique ont la cote.;correct;incorrect;;;;;
Général;1;En dépassant la limitation de vitesse, j'ai attrapé une amande.;incorrect;correct;;;;amende;
Général;1;Le fonds documentaire de l'I.U.T. est très complet.;correct;incorrect;;;;;
Général;1;Je vous saurai gré de me répondre rapidement par courrier.;correct;incorrect;;;;;
Général;1;Face à tes ennuis pécuniers, j'accepte de t'aider.;incorrect;correct;;;;pécuniaires;
Général;1;Vous n'êtes pas sans ignorer que sans travail il n'y a pas de succès.;incorrect;correct;;;;Vous savez;
Général;1;Je me retrouve face à une double alternative…;incorrect;correct;;;;double;
Général;1;Les jurés se sont réunis à huit clos.;incorrect;correct;;;;huis;
Général;1;Ma mère m'a rabattu les oreilles à cause de de mes réultats scolaires.;incorrect;correct;;;;rebattu;
Général;1;Le chiffre d'affaires a-t-il vraiment doublé ?;correct;incorrect;;;;;
Général;1;La conjecture immobilière est actuellement très mauvaise;incorrect;correct;;;;conjoncture;
Général;1;Les fêtards sont arrivés sans crier garde.;incorrect;correct;;;;gare;
Général;1;Ce job d'été est très bien rénuméré.;incorrect;correct;;;;rémunéré;
Général;1;Les places financières craignent un crack boursier.;incorrect;correct;;;;krack;
Général;1;L'aigle royal a rejoint son repaire.;correct;incorrect;;;;;
Général;1;Nous dînons avec Jacques tous les dimanches.;correct;incorrect;;;;;
Général;1;Mes parents sont commerçants, ils travaillent tous les samedis.;correct;incorrect;;;;;
Général;1;Certe, le tarif est intéressant, mais que ferais-je d'un troisième ordinateur ?;incorrect;correct;;;;certes;
Général;1;Auparavent, il recevait un salaire plus important.;incorrect;correct;;;;auparavant;
Général;1;Allons-y ensembles, à trois nous serons plus forts.;incorrect;correct;;;;ensemble;
Général;1;Biensûr tu ne dors plus. Normal avec tout le café que tu bois !;incorrect;correct;;;;bien sûr;
Général;1;Malgrés la crise, notre entreprise est en plein développement.;incorrect;correct;;;;malgré;
Général;1;Nous assurons essentiellement des transports internationnaux.;incorrect;correct;;;;internationnaux;
Général;1;Je ne vois pas trois mille solutions pour résoudre cet exercice !;correct;incorrect;;;;;
Général;1;Ces livraisons nous les expédieront par avion.;incorrect;correct;;;;expédierons;
Général;1;Vos propos sont vraiment extravaguants !;incorrect;correct;;;;extravagants;
Général;1;""""" Va, cours, vole et nous venge ! "" ";correct;incorrect;;;;;
Général;1;Si ce gâteau te tente, sers-t'en une part.;correct;incorrect;;;;;
Général;1;Si vous n'y allez pas, on y va pas non plus.;incorrect;correct;;;;n'y;
Général;1;Tu devrais t'adresser plutôt au fabriquant.;incorrect;correct;;;;fabricant;
Général;1;Si ça se trouve, tu as peut-être rencontré Miss France.;correct;incorrect;;;;;
Général;1;Ces parents sont loin, mais elle leur téléphone tous les jours.;correct;incorrect;;;;;
Général;1;J'admets que cette solution présente plus davantage que la précédente.;incorrect;correct;;;;d'avantages;
Général;1;S'ils échouent à l'examen, il devront sans prendre à eux-mêmes.;correct;incorrect;;;;;
Général;1;Mon frère ne sera pas la avec nous.;incorrect;correct;;;;là;
Général;1;Pour la vente de votre maison, pensez à faire un diagnostic thermique.;correct;incorrect;;;;;
Général;1;Tu devrais mettre ces cartes de vœux à l'envoie avant jeudi.;incorrect;correct;;;;envoie;
Général;1;Elle devra nous rejoindre pas ces propres moyens.;incorrect;correct;;;;ses;
Général;1;Ne t'inquiète pas pour ça !;correct;incorrect;;;;;
Général;1;Note-le, sinon tu risques dans oublier la moitié.;incorrect;correct;;;;d'en;
Général;1;Ce match, il est or de question qu'on le perde !;incorrect;correct;;;;hors;
Général;1;Qu'en pensez-vous ?;correct;incorrect;;;;;
Général;1;Leur mère est professeur, la notre est pharmacienne.;incorrect;correct;;;;nôtre;
Général;1;On reconnaît un cube à ses douze arrêtes.;incorrect;correct;;;;arêtes;
Général;1;Le Tour de France à vélo se caractérise par des cotes difficiles à grimper.;incorrect;correct;;;;côtes;
Général;1;Tu résonnes parfois comme un enfant de 5 ans.;incorrect;correct;;;;raisonnes;
Général;1;Françoise mange quelques cerises à la fin du repas.;correct;incorrect;;;;;
Général;1;Je trouve cette idée étrange, voir loufoque.;incorrect;correct;;;;voire;
Général;1;J'ai mis la pièce sans dessus dessous !;incorrect;correct;;;;sens;
Général;1;Quand le directeur est entré, ils se sont mis debouts.;incorrect;correct;;;;debout;
Général;1;Le chien fait le beau assis sur ses pattes arrières.;correct;incorrect;;;;;
Général;1;Cette somme t'est dûe, tu la mérites.;incorrect;correct;;;;due;
Général;1;La TVA est inclue dans le prix du manteau.;incorrect;correct;;;;incluses;
Général;1;Cette personne a l'air fâché.;incorrect;correct;;;;fâchée;
Général;1;Le joueur, prudent, surveille ses arrières.;correct;incorrect;;;;;
Général;1;Lorsque la réunion est terminée, on rédige le compte-rendu.;incorrect;correct;;;;compte rendu;
Général;1;Roméo et Juliette se sont plus au premier regard.;incorrect;correct;;;;plu;
Général;1;Ils se sont faits l'écho de cette information.;incorrect;correct;;;;fait;
Général;1;Mon grand-père est né il y a quelque cent ans.;correct;incorrect;;;;;
Général;1;Nous te soutiendrons, quoique tu décides.;incorrect;correct;;;;quoi que ;
Général;1;J'ai bien réfléchi, mais je reste sceptique quant à la décision que tu as prise.;correct;incorrect;;;;;
Général;1;L'association de ces produits constitue un mélange détonant.;correct;incorrect;;;;;
Général;1;C'est une personne digne de foie.;incorrect;correct;;;;foi;
